ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark,Latitude,Longitude
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350372.0,967719.0,, 8.75213° N, 37.63972° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350306.0,967702.0,, 8.75198° N, 37.63912° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350193.0,967643.0,, 8.75144° N, 37.63809° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350077.0,967611.0,, 8.75115° N, 37.63704° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350019.0,967636.0,, 8.75137° N, 37.63651° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350001.0,967686.0,, 8.75182° N, 37.63635° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350033.0,967787.0,, 8.75274° N, 37.63663° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350054.0,967850.0,, 8.75331° N, 37.63682° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350097.0,967903.0,, 8.75379° N, 37.63721° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350126.0,967985.0,, 8.75453° N, 37.63747° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350043.0,968041.0,, 8.75503° N, 37.63672° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349998.0,968054.0,, 8.75515° N, 37.63631° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350011.0,968130.0,, 8.75584° N, 37.63642° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349933.0,968134.0,, 8.75587° N, 37.63571° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349893.0,968149.0,, 8.75600° N, 37.63535° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349853.0,968183.0,, 8.75631° N, 37.63498° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349747.0,968154.0,, 8.75604° N, 37.63402° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349719.0,968165.0,, 8.75614° N, 37.63377° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349688.0,968173.0,, 8.75621° N, 37.63349° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349667.0,968192.0,, 8.75639° N, 37.63329° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349647.0,968196.0,, 8.75642° N, 37.63311° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349579.0,968264.0,, 8.75703° N, 37.63249° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349504.0,968311.0,, 8.75746° N, 37.63181° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349505.0,968407.0,, 8.75832° N, 37.63181° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349584.0,968470.0,, 8.75890° N, 37.63253° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349575.0,968528.0,, 8.75942° N, 37.63245° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349575.0,968560.0,, 8.75971° N, 37.63245° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349660.0,968671.0,, 8.76072° N, 37.63321° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349752.0,968738.0,, 8.76133° N, 37.63405° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349777.0,968753.0,, 8.76146° N, 37.63427° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349893.0,968827.0,, 8.76213° N, 37.63533° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350063.0,968952.0,, 8.76327° N, 37.63687° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340070.0,968902.0,, 8.76248° N, 37.54604° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340069.0,968915.0,, 8.76260° N, 37.54603° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340054.0,968940.0,, 8.76282° N, 37.54589° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340067.0,968958.0,, 8.76299° N, 37.54601° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340066.0,968946.0,, 8.76288° N, 37.54600° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340017.0,968933.0,, 8.76276° N, 37.54556° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349998.0,968944.0,, 8.76320° N, 37.63628° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349946.0,968944.0,, 8.76319° N, 37.63580° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349941.0,968972.0,, 8.76345° N, 37.63576° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349865.0,969037.0,, 8.76403° N, 37.63507° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349792.0,968972.0,, 8.76344° N, 37.63440° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349834.0,968920.0,, 8.76297° N, 37.63479° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349769.0,968855.0,, 8.76238° N, 37.63420° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349775.0,968816.0,, 8.76203° N, 37.63425° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349724.0,968779.0,, 8.76170° N, 37.63379° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349741.0,968779.0,, 8.76170° N, 37.63395° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349722.0,968832.0,, 8.76217° N, 37.63377° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349659.0,968826.0,, 8.76212° N, 37.63320° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349576.0,968788.0,, 8.76177° N, 37.63245° E
